Name,Unit,Equation,Format,Address,Length,Signed,ProgMin,ProgMax,WarnMin,WarnMax,Smoothing,Enabled,Tabs,Assign To
Intake Cam Pos,°,x / 128,%01.1f,0xd001566c,2,true,-100.0,100.0,-100.0,100.0,0.0,true,,
Intake Flow Fact,,x / 16384,%01.2f,0xd0011e08,2,false,0.0,20.0,-1000.0,1000.0,0.0,true,,
Knock Avg,°,(x - 128) / 2.66,%01.2f,0xd001988e,1,false,0.0,-5.0,-3.0,3.0,0.0,true,IGNITION.DEFAULT|BAR_V|4,
Knock Cyl 1,°,(x - 128) / 2.6667,%01.2f,0xd0019884,1,false,0.0,-5.0,-5.0,1000.0,0.0,true,IGNITION,knock_a
Knock Cyl 2,°,(x - 128) / 2.6667,%01.2f,0xd0019885,1,false,0.0,-5.0,-5.0,1000.0,0.0,true,IGNITION,knock_b
Knock Cyl 3,°,(x - 128) / 2.6667,%01.2f,0xd0019886,1,false,0.0,-5.0,-5.0,1000.0,0.0,true,IGNITION,knock_c
Knock Cyl 4,°,(x - 128) / 2.6667,%01.2f,0xd0019887,1,false,0.0,-5.0,-5.0,1000.0,0.0,true,IGNITION,knock_d
Lambda,l,x / 32767.999999,%01.2f,0xd00120e2,2,false,0.5,1.5,-0.1,5.0,0.0,true,FUEL,
Lambda SP,l,x / 1024,%01.2f,0xd00143f6,2,false,0.0,2.0,-100.0,500.0,0.0,true,FUEL,
LPFP Duty,%,x / 655.35999999,%01.0f,0xd0013600,2,false,0.0,100.0,-1000.0,100.0,0.0,true,FUEL,
LTFT,%,x / 1.28 - 100.0,%01.1f,0xd000f00b,1,false,-25.0,25.0,-20.0,20.0,0.7,true,FUEL,ltft
MAP,kpa,x / 1000,%01.1f,0xd00098cc,4,false,0.0,300.0,-300.0,300.0,0.0,true,AIRFLOW,map
MAP SP,kpa,x / 1000,%01.1f,0xd00098f4,4,false,0.0,300.0,-300.0,300.0,0.0,true,AIRFLOW,map_sp
Misfires,,x,%01.0f,0xd0014504,2,false,0.0,10.0,-1.0,10.0,0.0,true,MISC,
Oil Temp,°C,x - 40,%01.0f,0xd000c5ae,1,false,-25.0,120.0,-1000.0,1000.0,0.9,true,MISC,
Pedal Pos,%,x / 10.24,%01.1f,0xd0012028,2,false,0.0,100.0,-1000.0,1000.0,0.0,true,,pedal
Port Flap Pos,%,x,%01.0f,0xd0000aa1,1,false,0.0,1.0,-1000.0,1000.0,0.0,true,,
PUT,kpa,x / 1000,%01.1f,0xd00098fc,4,false,0.0,350.0,-1000.0,300.0,0.0,true,AIRFLOW,put
PUT SP,kpa,x / 120.601766,%01.1f,0xd0011eee,2,false,0.0,350.0,-1000.0,300.0,0.0,true,AIRFLOW,put_sp
SOI Actual,°,x / 2.666666666667,%01.0f,0xd0013a44,2,false,0.0,720.0,-1000.0,1000.0,0.0,true,,
SOI Limit,°,x / 2.666666666667,%01.0f,0xd0013a42,2,false,0.0,720.0,-1000.0,1000.0,0.0,true,,
STFT,%,x / 1.28 - 100,%01.0f,0xd000f00c,1,false,-25.0,25.0,-20.0,20.0,0.8,true,FUEL,stft
Torque,Nm,x / 32,%01.1f,0xd0015344,2,true,-40.0,500.0,-1000.0,1000.0,0.0,true,POWER,
Torque Lim,,x,%01.0f,0xd0011f0c,2,false,0.0,512.0,-1000.0,1000.0,0.0,true,POWER,
Torque Req,Nm,x / 32,%01.1f,0xd0012048,2,true,-40.0,500.0,-1000.0,500.0,0.0,true,POWER,tq_rep
TPS,%,x / 2.142128661087,%01.2f,0xd000f377,1,false,0.0,100.0,-1000.0,1000.0,0.0,true,,
Trans Temp,°C,x - 40,%01.0f,0xd000f3c1,1,false,-50.0,100.0,-1000.0,120.0,0.9,true,MISC.DEFAULT|BAR_V|5,
Turbo Speed,rpm,x / 163.84,%01.1f,0xd0011e76,2,false,0.0,195.0,-100.0,190.0,0.0,true,AIRFLOW,
Valve Lift Pos,,x,%01.0f,0xd0019b75,1,false,0.0,1.0,-1000.0,1000.0,0.0,true,,
Vehicle Speed,km/h,x / 100,%01.0f,0xd00155b6,2,false,0.0,250.0,-1000.0,250.0,0.0,true,,speed
WG Flow Des,kg/hr,x / 32,%01.1f,0xd0011e42,2,false,0.0,1024.0,-1000.0,10000.0,0.0,true,WG,
WG I Value,%,x / 327.68,%01.1f,0xd0015c26,2,true,-100.0,100.0,-1000.0,1000.0,0.0,true,WG,
WG P-D Value,%,x / 327.68,%01.1f,0xd0015c2e,2,true,-100.0,100.0,-1000.0,1000.0,0.0,true,WG,
WG Pos Base,%,x / 655.3599999999997,%01.1f,0xd0015c2c,2,false,0.0,100.0,-1000.0,1000.0,0.0,true,WG,wg_base
WG Pos Final,%,x / 655.3599999999997,%01.1f,0xd0011e10,2,false,0.0,100.0,-1000.0,1000.0,0.0,true,WG,wg_final
WG Voltage,V,x / 6553.6,%01.2f,0xd0011ddc,2,true,0.0,5.0,-10.0,10.0,0.0,true,WG,
Wheel Speed FL,km/h,x / 100,%01.0f,0xd00141a8,2,false,0.0,250.0,-1000.0,250.0,0.0,true,,wheel_fl
Wheel Speed FR,km/h,x / 100,%01.0f,0xd00141aa,2,false,0.0,250.0,-1000.0,250.0,0.0,true,,wheel_fr
Wheel Speed RL,km/h,x / 100,%01.0f,0xd00141ac,2,false,0.0,250.0,-1000.0,250.0,0.0,true,,wheel_rl
Wheel Speed RR,km/h,x / 100,%01.0f,0xd00141ae,2,false,0.0,250.0,-1000.0,250.0,0.0,true,,wheel_rr
